<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
CA,D,04/10/23,020000,7875
CA,D,05/10/23,020000,7823.75
CA,D,06/10/23,020000,7971.25
CA,D,09/10/23,020000,8039.25
CA,D,10/10/23,020000,7945
CA,D,11/10/23,020000,7946.5
CA,D,12/10/23,020000,7915.75
CA,D,13/10/23,020000,7875.81
CA,D,16/10/23,020000,7915.5
CA,D,17/10/23,020000,7902.75
CA,D,18/10/23,020000,7901.5
CA,D,19/10/23,020000,7928
CA,D,20/10/23,020000,7879.76
CA,D,23/10/23,020000,7900.76
CA,D,24/10/23,020000,7985
CA,D,25/10/23,020000,7958.5
CA,D,26/10/23,020000,7911
CA,D,27/10/23,020000,8030
CA,D,30/10/23,030000,8068.75
CA,D,31/10/23,030000,8029
CA,D,01/11/23,030000,8030
CA,D,02/11/23,030000,8064
CA,D,03/11/23,030000,8095.7
CA,D,06/11/23,030000,8157.74
CA,D,07/11/23,030000,8101
CA,D,08/11/23,030000,8058.5
CA,D,09/11/23,030000,8068.11
CA,D,10/11/23,030000,7954.69
CA,D,13/11/23,030000,8081.25
CA,D,14/11/23,030000,8144
CA,D,15/11/23,030000,8172.25
CA,D,16/11/23,030000,8122
CA,D,17/11/23,030000,8168.2
CA,D,20/11/23,030000,8340.25
CA,D,21/11/23,030000,8353
CA,D,22/11/23,030000,8252.99
CA,D,23/11/23,030000,8306.5
CA,D,24/11/23,030000,8329.75
CA,D,27/11/23,030000,8259.25
CA,D,28/11/23,030000,8387.75
CA,D,29/11/23,030000,8336.5
CA,D,30/11/23,030000,8387.5
CA,D,01/12/23,030000,8538.52
CA,D,04/12/23,030000,8362.75
CA,D,05/12/23,030000,8252.75
CA,D,06/12/23,030000,8201.25
CA,D,07/12/23,030000,8258
CA,D,08/12/23,030000,8366.25
CA,D,11/12/23,030000,8249.1
CA,D,12/12/23,030000,8259.75
CA,D,13/12/23,030000,8237.4
CA,D,14/12/23,030000,8460.51
CA,D,15/12/23,030000,8454.65
CA,D,18/12/23,030000,8393.81
CA,D,19/12/23,030000,8500.5
CA,D,20/12/23,030000,8488.5
CA,D,21/12/23,030000,8508.5
CA,D,22/12/23,030000,8483.5
CA,D,27/12/23,030000,8589
CA,D,28/12/23,030000,8530.25
CA,D,29/12/23,030000,8463.92
CA,D,02/01/24,030000,8440.5
CA,D,03/01/24,030000,8418.5
CA,D,04/01/24,030000,8367.8
CA,D,05/01/24,030000,8310
CA,D,08/01/24,030000,8339.69
CA,D,09/01/24,030000,8263.4
CA,D,10/01/24,030000,8269
CA,D,11/01/24,030000,8262.2
CA,D,12/01/24,030000,8241.2
CA,D,15/01/24,030000,8284
CA,D,16/01/24,030000,8268
CA,D,17/01/24,030000,8174.25
CA,D,18/01/24,030000,8223.8
CA,D,19/01/24,030000,8271.76
CA,D,22/01/24,030000,8254.5
CA,D,23/01/24,030000,8312
CA,D,24/01/24,030000,8472.49
CA,D,25/01/24,030000,8477.5
CA,D,26/01/24,030000,8448.05
CA,D,29/01/24,030000,8455
CA,D,30/01/24,030000,8511.75
CA,D,31/01/24,030000,8500.5
CA,D,01/02/24,030000,8425.5
CA,D,02/02/24,030000,8374.34
CA,D,05/02/24,030000,8247.24
CA,D,06/02/24,030000,8293.25
CA,D,07/02/24,030000,8198.74
